id,region,population,income_per_capita
0500000000,Вінницька,1565000,43725
0700000000,Волинська,1036685,38068.7
1200000000,Дніпропетровська,3214034,54215.4
1400000000,Донецька,4175471,24947.5
1800000000,Житомирська,1223864,41786.6
2100000000,Закарпатська,1257089,33281.7
2300000000,Запорізька,1710684,52726.9
2600000000,Івано-Франківська,1374640,39325.5
3200000000,Київська,1764315,50320.5
3500000000,Кіровоградська,948797,40877.2
4400000000,Луганська,2156195,16468.2
4600000000,Львівська,2524214,44194.2
4800000000,Миколаївська,1134126,43851.8
5100000000,Одеська,2380393,48473.7
5300000000,Полтавська,1404286,47075.3
5600000000,Рівненська,1158776,38881.8
5900000000,Сумська,1085035,44323.3
6100000000,Тернопільська,1047624,35211.2
6300000000,Харківська,2681091,46789.7
6500000000,Херсонська,1040582,40242.6
6800000000,Хмельницька,1267896,42349.6
7100000000,Черкаська,1210507,40589
7300000000,Чернівецька,904911,35403.4
7400000000,Чернігівська,1010201,41320.7
0100000000, АР Крим,NA,NA
